iter	Passed	Remaining
0	2	2362
1	4	2061
2	5	1942
3	7	1891
4	9	1860
5	10	1815
6	12	1793
7	14	1770
8	16	1774
9	18	1796
10	19	1792
11	21	1779
12	23	1770
13	24	1759
14	26	1751
15	28	1746
16	30	1737
17	31	1738
18	33	1736
19	35	1730
20	36	1723
21	38	1718
22	40	1714
23	42	1709
24	43	1706
25	45	1702
26	47	1697
27	49	1706
28	50	1700
29	51	1676
30	53	1669
31	55	1663
32	56	1657
33	58	1652
34	59	1644
35	61	1641
36	63	1641
37	64	1636
38	66	1631
39	67	1629
40	69	1625
41	71	1620
42	72	1616
43	74	1612
44	76	1614
45	78	1618
46	79	1616
47	81	1613
48	82	1608
49	84	1602
50	85	1598
51	87	1594
52	89	1590
53	90	1591
54	92	1595
55	94	1595
56	96	1592
57	97	1589
58	99	1587
59	101	1584
60	102	1581
61	104	1577
62	106	1578
63	108	1582
64	109	1579
65	111	1575
66	112	1571
67	114	1568
68	115	1565
69	117	1560
70	119	1557
71	120	1557
72	122	1556
73	124	1553
74	125	1550
75	127	1547
76	128	1544
77	130	1541
78	131	1538
79	133	1534
80	135	1532
81	137	1534
82	138	1531
83	140	1528
84	141	1525
85	143	1522
86	144	1519
87	146	1515
88	147	1512
89	149	1509
90	151	1508
91	152	1507
92	154	1504
93	155	1501
94	157	1497
95	158	1494
96	160	1491
97	161	1488
98	163	1485
99	164	1482
100	166	1481
101	168	1481
102	169	1478
103	171	1476
104	172	1473
105	174	1470
106	175	1468
107	177	1465
108	179	1463
109	180	1461
110	182	1461
111	184	1459
112	185	1457
113	187	1456
114	189	1454
115	190	1452
116	192	1450
117	193	1447
118	195	1445
119	197	1445
120	198	1443
121	200	1441
122	201	1438
123	203	1436
124	204	1434
125	206	1431
126	207	1429
127	209	1426
128	211	1426
129	212	1424
130	214	1422
131	215	1419
132	217	1417
133	218	1415
134	220	1412
135	221	1409
136	223	1407
137	224	1405
138	226	1403
139	228	1402
140	229	1400
141	231	1398
142	232	1395
143	234	1393
144	235	1391
145	237	1388
146	239	1387
147	240	1385
148	242	1383
149	243	1382
150	245	1380
151	247	1378
152	248	1375
153	250	1373
154	251	1371
155	253	1369
156	254	1367
157	255	1362
158	257	1362
159	259	1361
160	260	1358
161	262	1356
162	263	1354
163	265	1352
164	266	1350
165	268	1348
166	269	1346
167	271	1344
168	273	1343
169	274	1342
170	276	1340
171	277	1338
172	279	1336
173	281	1334
174	282	1332
175	284	1331
176	285	1328
177	287	1327
178	289	1327
179	290	1325
180	292	1323
181	293	1321
182	295	1318
183	296	1316
184	298	1314
185	299	1312
186	301	1311
187	303	1310
188	304	1308
189	306	1306
190	307	1304
191	309	1302
192	310	1300
193	312	1298
194	313	1296
195	315	1294
196	317	1293
197	319	1293
198	321	1293
199	322	1291
200	324	1290
201	326	1288
202	327	1287
203	329	1286
204	331	1284
205	333	1283
206	334	1282
207	336	1280
208	337	1278
209	339	1276
210	340	1274
211	342	1272
212	343	1270
213	345	1268
214	347	1267
215	348	1266
216	350	1264
217	352	1263
218	353	1261
219	355	1259
220	356	1257
221	358	1255
222	359	1253
223	361	1251
224	363	1251
225	365	1250
226	366	1248
227	368	1246
228	369	1244
229	371	1242
230	372	1240
231	374	1238
232	375	1236
233	377	1235
234	379	1234
235	380	1232
236	382	1231
237	383	1229
238	385	1227
239	387	1225
240	388	1224
241	390	1222
242	391	1220
243	393	1218
244	394	1217
245	396	1215
246	398	1213
247	399	1211
248	404	1219
249	405	1217
250	407	1215
251	409	1215
252	411	1213
253	412	1211
254	414	1209
255	415	1208
256	417	1206
257	418	1204
258	420	1202
259	421	1200
260	423	1199
261	425	1198
262	427	1196
263	428	1195
264	430	1193
265	431	1191
266	433	1189
267	434	1187
268	436	1185
269	437	1183
270	439	1183
271	441	1181
272	443	1179
273	444	1178
274	446	1176
275	447	1174
276	449	1172
277	450	1170
278	452	1168
279	454	1167
280	455	1166
281	457	1164
282	458	1162
283	460	1160
284	461	1158
285	463	1156
286	464	1154
287	466	1152
288	467	1151
289	469	1150
290	471	1149
291	473	1147
292	475	1146
293	476	1144
294	478	1143
295	479	1141
296	481	1139
297	482	1137
298	484	1136
299	486	1134
300	487	1132
301	489	1131
302	490	1129
303	492	1127
304	493	1125
305	495	1123
306	496	1121
307	498	1119
308	500	1119
309	502	1117
310	503	1115
311	505	1113
312	506	1111
313	508	1109
314	509	1108
315	511	1106
316	512	1104
317	514	1102
318	515	1101
319	517	1099
320	518	1097
321	520	1095
322	521	1093
323	523	1092
324	524	1090
325	526	1088
326	527	1086
327	529	1085
328	531	1085
329	533	1083
330	534	1081
331	536	1079
332	538	1077
333	539	1075
334	541	1074
335	542	1072
336	544	1070
337	545	1069
338	547	1067
339	548	1065
340	550	1063
341	551	1061
342	553	1060
343	554	1058
344	556	1056
345	558	1054
346	559	1053
347	561	1052
348	563	1050
349	564	1048
350	566	1047
351	567	1045
352	569	1043
353	570	1041
354	572	1039
355	573	1037
356	575	1036
357	577	1034
358	578	1033
359	580	1031
360	581	1029
361	583	1028
362	584	1026
363	586	1024
364	587	1022
365	589	1021
366	591	1020
367	593	1018
368	594	1017
369	596	1015
370	597	1013
371	599	1011
372	600	1009
373	602	1008
374	603	1006
375	605	1004
376	607	1003
377	608	1001
378	610	999
379	611	998
380	613	996
381	614	994
382	616	992
383	617	991
384	619	989
385	621	988
386	623	986
387	624	985
388	626	983
389	627	981
390	629	979
391	630	978
392	632	976
393	633	974
394	635	972
395	636	971
396	638	969
397	639	967
398	641	966
399	643	964
400	644	962
401	646	961
402	647	959
403	649	957
404	650	956
405	652	954
406	654	953
407	655	951
408	657	949
409	658	947
410	660	946
411	661	944
412	663	942
413	664	940
414	666	939
415	668	937
416	669	936
417	671	934
418	672	933
419	674	931
420	676	929
421	677	928
422	679	926
423	680	924
424	683	924
425	684	922
426	686	920
427	687	918
428	689	917
429	690	915
430	692	913
431	693	911
432	695	910
433	696	908
434	698	907
435	700	905
436	701	904
437	703	902
438	705	901
439	706	899
440	708	897
441	710	896
442	711	895
443	713	893
444	715	891
445	716	890
446	718	888
447	719	886
448	721	884
449	722	883
450	724	881
451	725	880
452	727	878
